# x_m,y_m,w_tr_right_m,w_tr_left_m
7.3200,1.9600,0.5500,0.5500
7.2700,1.9600,0.5500,0.5500
7.2200,1.9600,0.5500,0.5500
7.1700,1.9600,0.5500,0.5500
7.1200,1.9600,0.5500,0.5500
7.0700,1.9600,0.5500,0.5500
7.0200,1.9600,0.5500,0.5500
6.9700,1.9600,0.5500,0.5500
6.9200,1.9600,0.5500,0.5500
6.8700,1.9600,0.5500,0.5500
6.8200,1.9600,0.5500,0.5500
6.7700,1.9600,0.5500,0.5500
6.7200,1.9600,0.5500,0.5500
6.6700,1.9600,0.5500,0.5500
6.6200,1.9600,0.5500,0.5500
6.5700,1.9600,0.5500,0.5500
6.5200,1.9100,0.5000,0.5000
6.4700,1.9100,0.5000,0.5000
6.4200,1.9100,0.5000,0.5000
6.3700,1.9100,0.5000,0.5000
6.3200,1.9100,0.5000,0.5000
6.2700,1.8600,0.4500,0.4500
6.2200,1.8600,0.4500,0.4500
6.1700,1.8600,0.4528,0.4528
6.1200,1.8600,0.4610,0.4610
6.0700,1.8600,0.4743,0.4743
6.0200,1.8600,0.4924,0.4924
5.9700,1.8100,0.4717,0.4717
5.9200,1.8100,0.4924,0.4924
5.8700,1.8100,0.5000,0.5000
5.8200,1.7600,0.4610,0.4610
5.7700,1.7600,0.4743,0.4743
5.7200,1.7100,0.4472,0.4472
5.6700,1.7100,0.4610,0.4610
5.6200,1.7100,0.4743,0.4743
5.5700,1.6600,0.4472,0.4472
5.5200,1.6600,0.4610,0.4610
5.4700,1.6600,0.4472,0.4472
5.4200,1.6100,0.4472,0.4472
5.3700,1.6100,0.4610,0.4610
5.3200,1.5600,0.4610,0.4610
5.2700,1.5600,0.4717,0.4717
5.2200,1.5100,0.4472,0.4472
5.1700,1.5100,0.4717,0.4717
5.1200,1.4600,0.4610,0.4610
5.0700,1.4100,0.4272,0.4272
5.0200,1.4100,0.4472,0.4472
4.9700,1.3600,0.4123,0.4123
4.9200,1.3600,0.4272,0.4272
4.8700,1.3600,0.4472,0.4472
4.8200,1.3600,0.4272,0.4272
4.7700,1.3100,0.4610,0.4610
4.7200,1.2600,0.4472,0.4472
4.6700,1.2600,0.4717,0.4717
4.6200,1.2100,0.4610,0.4610
4.5700,1.2100,0.4717,0.4717
4.5200,1.1600,0.4924,0.4924
4.4700,1.1600,0.4743,0.4743
4.4200,1.1100,0.5000,0.5000
4.3700,1.0600,0.5000,0.5000
4.3200,1.0100,0.4950,0.4950
4.2700,0.9600,0.5000,0.5000
4.2200,0.9100,0.5148,0.5148
4.1700,0.8600,0.5315,0.5315
4.1700,0.8100,0.5385,0.5385
4.1200,0.7600,0.5590,0.5590
4.0700,0.7100,0.5831,0.5831
